"区分","設置者別学校数_計_計_計","設置者別学校数_計_計_本校","設置者別学校数_計_計_分校","設置者別学校数_計_全日制_本校","設置者別学校数_計_全日制_分校","設置者別学校数_計_定時制_本校","設置者別学校数_計_定時制_分校","設置者別学校数_計_併置_本校","設置者別学校数_県立_計_計","設置者別学校数_県立_計_本校","設置者別学校数_県立_計_分校","設置者別学校数_県立_全日制_本校","設置者別学校数_県立_全日制_分校","設置者別学校数_県立_定時制_本校","設置者別学校数_県立_定時制_分校","設置者別学校数_県立_併置_本校","設置者別学校数_市立_全日制_本校","設置者別学校数_市立_全日制_本校","設置者別学校数_私立_全日制_本校"
"県計  ","49.0","44.0","5.0","33.0","4.0","4.0","1.0","7.0","39.0","34.0","5.0","24.0","4.0","4.0","1.0","6.0","1.0","1.0","8.0"
"和歌山市","14.0","14.0","0.0","11.0","0.0","1.0","0.0","2.0","9.0","9.0","0.0","7.0","0.0","1.0","0.0","1.0","0.0","1.0","4.0"
"海南市","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0"
"橋本市","5.0","5.0","0.0","4.0","0.0","1.0","0.0","0.0","4.0","4.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0"
"有田市","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"御坊市","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"田辺市","5.0","4.0","1.0","3.0","1.0","1.0","0.0","0.0","5.0","4.0","1.0","3.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0"
"新宮市","3.0","3.0","0.0","2.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","1.0"
"紀の川市","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","2.0","2.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"岩出市","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"紀美野町","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"かつらぎ町","3.0","3.0","0.0","2.0","0.0","1.0","0.0","0.0","3.0","3.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"九度山町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"湯浅町","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"広川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","2.0","1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"美浜町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"印南町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
