"区分","学年別生徒数_計_計","学年別生徒数_計_男","学年別生徒数_計_女","学年別生徒数_全日制（本科）_計_計","学年別生徒数_全日制（本科）_計_男","学年別生徒数_全日制（本科）_計_女","学年別生徒数_全日制（本科）_１学年_計","学年別生徒数_全日制（本科）_１学年_男","学年別生徒数_全日制（本科）_１学年_女","学年別生徒数_全日制（本科）_２学年_計","学年別生徒数_全日制（本科）_２学年_男","学年別生徒数_全日制（本科）_２学年_女","学年別生徒数_全日制（本科）_３学年_計","学年別生徒数_全日制（本科）_３学年_男","学年別生徒数_全日制（本科）_３学年_女","学年別生徒数（つづき）_定時制（本科）_計_計","学年別生徒数（つづき）_定時制（本科）_計_男","学年別生徒数（つづき）_定時制（本科）_計_女","学年別生徒数（つづき）_定時制（本科）_１学年_計","学年別生徒数（つづき）_定時制（本科）_１学年_男","学年別生徒数（つづき）_定時制（本科）_１学年_女","学年別生徒数（つづき）_定時制（本科）_２学年_計","学年別生徒数（つづき）_定時制（本科）_２学年_男","学年別生徒数（つづき）_定時制（本科）_２学年_女","学年別生徒数（つづき）_定時制（本科）_３学年_計","学年別生徒数（つづき）_定時制（本科）_３学年_男","学年別生徒数（つづき）_定時制（本科）_３学年_女","学年別生徒数（つづき）_定時制（本科）_４学年_計","学年別生徒数（つづき）_定時制（本科）_４学年_男","学年別生徒数（つづき）_定時制（本科）_４学年_女","学年別生徒数（つづき）_専攻科_計","学年別生徒数（つづき）_専攻科_男","学年別生徒数（つづき）_専攻科_女","学年別生徒数（つづき）_計のうち公立の本科（再掲）_計_計","学年別生徒数（つづき）_計のうち公立の本科（再掲）_計_男","学年別生徒数（つづき）_計のうち公立の本科（再掲）_計_女","学年別生徒数（つづき）_計のうち公立の本科（再掲）_１学年_計","学年別生徒数（つづき）_計のうち公立の本科（再掲）_１学年_男","学年別生徒数（つづき）_計のうち公立の本科（再掲）_１学年_女","学年別生徒数（つづき）_計のうち公立の本科（再掲）_２学年_計","学年別生徒数（つづき）_計のうち公立の本科（再掲）_２学年_男","学年別生徒数（つづき）_計のうち公立の本科（再掲）_２学年_女","学年別生徒数（つづき）_計のうち公立の本科（再掲）_３学年_計","学年別生徒数（つづき）_計のうち公立の本科（再掲）_３学年_男","学年別生徒数（つづき）_計のうち公立の本科（再掲）_３学年_女","学年別生徒数（つづき）_計のうち公立の本科（再掲）_４学年_計","学年別生徒数（つづき）_計のうち公立の本科（再掲）_４学年_男","学年別生徒数（つづき）_計のうち公立の本科（再掲）_４学年_女","学科別生徒数（本科）_計_計","学科別生徒数（本科）_計_男女別_男","学科別生徒数（本科）_計_男女別_女","学科別生徒数（本科）_普通_計","学科別生徒数（本科）_普通_男女別_男","学科別生徒数（本科）_普通_男女別_女","学科別生徒数（本科）_農業_計","学科別生徒数（本科）_農業_男女別_男","学科別生徒数（本科）_農業_男女別_女","学科別生徒数（本科）_工業_計","学科別生徒数（本科）_工業_男女別_男","学科別生徒数（本科）_工業_男女別_女","学科別生徒数（本科）(つづき)_商業_計","学科別生徒数（本科）(つづき)_商業_男女別_男","学科別生徒数（本科）(つづき)_商業_男女別_女","学科別生徒数（本科）(つづき)_家庭_計","学科別生徒数（本科）(つづき)_家庭_男女別_男","学科別生徒数（本科）(つづき)_家庭_男女別_女","学科別生徒数（本科）(つづき)_看護_計","学科別生徒数（本科）(つづき)_看護_男女別_男","学科別生徒数（本科）(つづき)_看護_男女別_女","学科別生徒数（本科）(つづき)_その他_計","学科別生徒数（本科）(つづき)_その他_男女別_男","学科別生徒数（本科）(つづき)_その他_男女別_女","学科別生徒数（本科）(つづき)_総合学科_計","学科別生徒数（本科）(つづき)_総合学科_男女別_男","学科別生徒数（本科）(つづき)_総合学科_男女別_女"
"県計  ","28053.0","14105.0","13948.0","27005.0","13488.0","13517.0","9116.0","4580.0","4536.0","9128.0","4542.0","4586.0","8761.0","4366.0","4395.0","969.0","602.0","367.0","343.0","202.0","141.0","242.0","158.0","84.0","221.0","142.0","79.0","163.0","100.0","63.0","79.0","15.0","64.0","23329.0","11732.0","11597.0","7889.0","3960.0","3929.0","7843.0","3932.0","3911.0","7434.0","3740.0","3694.0","163.0","100.0","63.0","27974.0","14090.0","13884.0","18211.0","8813.0","9398.0","483.0","324.0","159.0","2530.0","2251.0","279.0","2375.0","796.0","1579.0","280.0","1.0","279.0","111.0","23.0","88.0","1950.0","1024.0","926.0","2034.0","858.0","1176.0"
"和歌山市","12522.0","6186.0","6336.0","12014.0","5849.0","6165.0","4030.0","1950.0","2080.0","4060.0","1996.0","2064.0","3924.0","1903.0","2021.0","508.0","337.0","171.0","198.0","121.0","77.0","108.0","73.0","35.0","117.0","82.0","35.0","85.0","61.0","24.0","0.0","0.0","0.0","8918.0","4579.0","4339.0","3034.0","1532.0","1502.0","2972.0","1535.0","1437.0","2827.0","1451.0","1376.0","85.0","61.0","24.0","12522.0","6186.0","6336.0","8055.0","3794.0","4261.0","0.0","0.0","0.0","1274.0","1129.0","145.0","1583.0","554.0","1029.0","0.0","0.0","0.0","0.0","0.0","0.0","944.0","502.0","442.0","666.0","207.0","459.0"
"海南市","1012.0","409.0","603.0","993.0","396.0","597.0","354.0","143.0","211.0","341.0","129.0","212.0","298.0","124.0","174.0","19.0","13.0","6.0","3.0","1.0","2.0","7.0","5.0","2.0","6.0","4.0","2.0","3.0","3.0","0.0","0.0","0.0","0.0","1012.0","409.0","603.0","357.0","144.0","213.0","348.0","134.0","214.0","304.0","128.0","176.0","3.0","3.0","0.0","1012.0","409.0","603.0","704.0","323.0","381.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","188.0","0.0","188.0","0.0","0.0","0.0","120.0","86.0","34.0","0.0","0.0","0.0"
"橋本市","1889.0","1162.0","727.0","1847.0","1145.0","702.0","566.0","372.0","194.0","630.0","367.0","263.0","651.0","406.0","245.0","42.0","17.0","25.0","42.0","17.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1430.0","806.0","624.0","441.0","253.0","188.0","480.0","250.0","230.0","509.0","303.0","206.0","0.0","0.0","0.0","1889.0","1162.0","727.0","1332.0","681.0","651.0","0.0","0.0","0.0","511.0","438.0","73.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.0","43.0","3.0","0.0","0.0","0.0"
"有田市","668.0","384.0","284.0","668.0","384.0","284.0","230.0","130.0","100.0","228.0","132.0","96.0","210.0","122.0","88.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","668.0","384.0","284.0","230.0","130.0","100.0","228.0","132.0","96.0","210.0","122.0","88.0","0.0","0.0","0.0","668.0","384.0","284.0","440.0","254.0","186.0","0.0","0.0","0.0","109.0","109.0","0.0","119.0","21.0","98.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"御坊市","1367.0","664.0","703.0","1305.0","623.0","682.0","441.0","205.0","236.0","433.0","206.0","227.0","431.0","212.0","219.0","62.0","41.0","21.0","25.0","15.0","10.0","22.0","14.0","8.0","9.0","7.0","2.0","6.0","5.0","1.0","0.0","0.0","0.0","1367.0","664.0","703.0","466.0","220.0","246.0","455.0","220.0","235.0","440.0","219.0","221.0","6.0","5.0","1.0","1367.0","664.0","703.0","1016.0","453.0","563.0","0.0","0.0","0.0","119.0","115.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","232.0","96.0","136.0","0.0","0.0","0.0"
"田辺市","2612.0","1420.0","1192.0","2476.0","1339.0","1137.0","784.0","432.0","352.0","863.0","461.0","402.0","829.0","446.0","383.0","136.0","81.0","55.0","50.0","29.0","21.0","32.0","26.0","6.0","28.0","15.0","13.0","26.0","11.0","15.0","0.0","0.0","0.0","2612.0","1420.0","1192.0","834.0","461.0","373.0","895.0","487.0","408.0","857.0","461.0","396.0","26.0","11.0","15.0","2612.0","1420.0","1192.0","1418.0","686.0","732.0","0.0","0.0","0.0","517.0","460.0","57.0","439.0","162.0","277.0","0.0","0.0","0.0","0.0","0.0","0.0","238.0","112.0","126.0","0.0","0.0","0.0"
"新宮市","1548.0","792.0","756.0","1504.0","772.0","732.0","510.0","263.0","247.0","515.0","269.0","246.0","479.0","240.0","239.0","44.0","20.0","24.0","12.0","8.0","4.0","9.0","4.0","5.0","9.0","6.0","3.0","14.0","2.0","12.0","0.0","0.0","0.0","1111.0","525.0","586.0","365.0","169.0","196.0","394.0","201.0","193.0","338.0","153.0","185.0","14.0","2.0","12.0","1548.0","792.0","756.0","1120.0","576.0","544.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","428.0","216.0","212.0"
"紀の川市","1416.0","769.0","647.0","1385.0","744.0","641.0","489.0","290.0","199.0","465.0","249.0","216.0","431.0","205.0","226.0","31.0","25.0","6.0","8.0","7.0","1.0","14.0","10.0","4.0","7.0","7.0","0.0","2.0","1.0","1.0","0.0","0.0","0.0","1416.0","769.0","647.0","497.0","297.0","200.0","479.0","259.0","220.0","438.0","212.0","226.0","2.0","1.0","1.0","1416.0","769.0","647.0","1188.0","637.0","551.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","228.0","132.0","96.0","0.0","0.0","0.0"
"岩出市","958.0","410.0","548.0","958.0","410.0","548.0","321.0","131.0","190.0","319.0","146.0","173.0","318.0","133.0","185.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","958.0","410.0","548.0","321.0","131.0","190.0","319.0","146.0","173.0","318.0","133.0","185.0","0.0","0.0","0.0","958.0","410.0","548.0","837.0","374.0","463.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","36.0","85.0","0.0","0.0","0.0"
